date,year_of,month_of,sname,birth,sex,grp,stime,min,age_sample,activity
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,4,7.991786447638604,Rest
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,5,7.991786447638604,Rest
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,6,7.991786447638604,Rest
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,7,7.991786447638604,Rest
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,8,7.991786447638604,Walk
2000-01-08,2000,Jan,OFR,1992-01-11,Female,1.21,11:11:00,9,7.991786447638604,Rest
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,1,7.997262149212868,Walk
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,2,7.997262149212868,Walk
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,3,7.997262149212868,Rest
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,4,7.997262149212868,Rest
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,5,7.997262149212868,Rest
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,6,7.997262149212868,Groom
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,7,7.997262149212868,Walk
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,8,7.997262149212868,Walk
2000-01-08,2000,Jan,ASH,1992-01-09,Female,1.21,11:22:00,9,7.997262149212868,Walk
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,1,7.994524298425736,Walk
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,2,7.994524298425736,Walk
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,3,7.994524298425736,Rest
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,4,7.994524298425736,Rest
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,5,7.994524298425736,Feed
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,6,7.994524298425736,Walk
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,7,7.994524298425736,Feed
2000-01-08,2000,Jan,OST,1992-01-10,Female,1.21,11:32:00,8,7.994524298425736,Feed
